<<<<<<< HEAD
Country,Environmental Performance Index,IHDI: Inequality-adjusted HDI value,"GII: Gender Inequality Index, value",GNI: Gross National Income
Albania,71.4,0.637,0.271,"7,803"
Morocco,65.6,0.409,0.51,"4,196"
Mozambique,51.2,0.229,0.602,898
Namibia,59.3,0.353,0.466,"6,206"
Nepal,68.2,0.301,0.558,"1,160"
Netherlands,66.4,0.846,0.052,"36,402"
Nicaragua,57.1,0.427,0.506,"2,430"
Niger,37.6,0.195,0.724,641
Norway,81.1,0.89,0.075,"47,557"
Pakistan,48,0.346,0.573,"2,550"
Panama,71.4,0.579,0.492,"12,335"
Paraguay,63.5,0.505,0.476,"4,727"
Peru,69.3,0.557,0.415,"8,389"
Philippines,65.7,0.516,0.427,"3,478"
Poland,63.1,0.734,0.164,"17,451"
Portugal,73,0.726,0.14,"20,573"
Romania,67,0.683,0.333,"11,046"
Russian Federation,61.2,0.67,0.338,"14,561"
Rwanda,44.6,0.276,0.453,"1,133"
Senegal,42.3,0.304,0.566,"1,708"
Sierra Leone,32.1,0.196,0.662,737
Slovakia,74.5,0.787,0.194,"19,998"
Slovenia,65,0.837,0.175,"24,914"
Spain,70.6,0.799,0.117,"26,508"
Sri Lanka,63.7,0.579,0.419,"4,943"
Swaziland,54.4,0.338,0.546,"4,484"
Sweden,86,0.851,0.049,"35,837"
Switzerland,89.1,0.84,0.067,"39,924"
Syrian Arab Republic,64.6,0.503,0.474,"4,243"
Tajikistan,51.3,0.5,0.347,"1,937"
Tanzania (United Republic of),47.9,0.332,0.59,"1,328"
Thailand,62.2,0.537,0.382,"7,694"
The former Yugoslav Republic of Macedonia,60.6,0.609,0.151,"8,804"
Togo,36.4,0.289,0.602,798
Trinidad and Tobago,54.2,0.644,0.331,"23,439"
Tunisia,60.6,0.523,0.293,"7,281"
Turkey,60.4,0.542,0.443,"12,246"
Uganda,49.8,0.296,0.577,"1,124"
Ukraine,58.2,0.662,0.335,"6,175"
United Kingdom,74.2,0.791,0.209,"33,296"
United States,63.5,0.771,0.299,"43,017"
Uruguay,59.1,0.654,0.352,"13,242"
Venezuela (Bolivarian Republic of),62.9,0.54,0.447,"10,656"
Viet Nam,59,0.51,0.305,"2,805"
Yemen,48.3,0.312,0.769,"2,213"
Zambia,47,0.303,0.627,"1,254"
Zimbabwe,47.8,0.268,0.583,376

Very high human development,68.2,,..,"33,352"
High human development,63.5,,..,"11,579"
Medium human development,50.3,,..,"5,276"
Low human development,46.3,,..,"1,585"
Arab States (RB),56.4,,..,"8,554"
Europe and Central Asia (RB),60.4,,..,"12,004"
East Asia and the Pacific (RB),50.3,,..,"6,466"
South Asia (RB),49,,..,"10,119"
Latin America and the Caribbean (RB),65.2,,..,"3,435"
Sub-Saharan Africa (RB),45.7,,..,"1,966"
Least developed countries,46.7,,..,"1,327"
SIDS,59.5,,..,"5,200"
World,54.4,,..,"10,082"

Footnotes,,,,
"a. Includes critically endangered, endangered, and vulnerable plants and animal species as a percentage of the total animal and plants species in a country.",,,,
"b. The Global Forest Resource Assessment 2010 (FRA 2010) is the main source of forest area data in FAOSTAT. Data were provided by countries for years 1990, 2000, 2005 and 2010. The data collected from official national sources through the questionnaire are supplemented with information from official secondary data sources. The secondary sources cover: official country data from websites of national ministries, national publications and related country data reported by various international organizations. Data for intermediate years were estimated for FAO using linear interpolation and tabulation.",,,,
c. Data refers to latest year between 2003-2007.,,,,
d. Data refers to latest year between 2008-2012.,,,,
"e. For certain amphibian species endemic to Brazil, there was no time for the Global Amphibian Assessment (GAA) Coordinating Team and the experts on the species in Brazil to reach agreement on the Red List Categories. The data for amphibians included in the data displayed here are those that were agreed at the GAA Brazil workshop in April 2003. However, a subsequent GAA check found that many of the assessments were inconsistent with the approach adopted elsewhere in the world, and a ""consistent Red List Category"" was also assigned to these species. Therefore, data displayed here may not match data in the Global Species Assessment.",,,,
f. Less than 1 percent.,,,,
g. Less than 1.,,,,

Sources,,,,
"Columns 1-22: HDRO calculations based on data from Boden, Marland and Andres (2009).",,,,
"Columns 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87 and 88: HDRO calculations based on data on forest and total land area from FAO (2011a).",,,,
Columns 34-44: Global Footprint Network (2010).
Columns 45-55: IUCN (2010).
Columns 56-66: Emerson and others (2010).
"Columns 67-77: UN (2011). [""ResourceSTAT: FAO""]. FAO. Rome."
Columns 89-99: FAO (2011a).
Columns 100-110: HDRO calculations based on data from World Bank (2011a) and UNDESA (2011).
Columns 111-132: WHO Collaborating Centre for Research on the Epidemiology of Disasters (2011) and UNDESA (2011).
Columns 133-143: HDRO calculations based on World Bank (2011a).
>>>>>>> data files edited.
